U	Ug	V	Vg	X	Xg	Y	Yg
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.09552177485620379	-0.18109	0.10026705012325392	0.27485	0.025	0.0625	0.025	0.0547
-0.14133114215283485	-0.20196	0.14196110654615174	0.29012	0.05	0.0703	0.05	0.0625
-0.17352095316351684	-0.222	0.16851547521227062	0.30353	0.075	0.0781	0.075	0.0703
-0.1956039441248973	-0.2973	0.18557244590523145	0.32627	0.1	0.0938	0.1	0.1016
-0.21013420980553277	-0.38289	0.19663790742262394	0.37095	0.125	0.1563	0.125	0.1719
-0.218337441796768	-0.27805	0.20328677074774038	0.33075	0.15	0.2266	0.15	0.2813
-0.22069980827170638	-0.10647999999999999	0.20606683100520407	0.32235	0.175	0.2344	0.175	0.4531
-0.21758422350041084	-0.0608	0.20521090112298002	0.025259999999999998	0.2	0.5	0.2	0.5
-0.2095384826075048	0.05702	0.2009107093946864	-0.31966	0.22499999999999998	0.8047	0.22499999999999998	0.6172
-0.19735004108463433	0.18719	0.19343330594357713	-0.42665	0.25	0.8594	0.25	0.7344
-0.1820049301561216	0.33304	0.18308682552725283	-0.5155	0.27499999999999997	0.9063	0.27499999999999997	0.8516
-0.16462612982744454	0.46603999999999995	0.17029580936729663	-0.39188	0.3	0.9453	0.3	0.9531
-0.1463092303478499	0.51117	0.15551218844152287	-0.33714	0.32499999999999996	0.9531	0.32499999999999996	0.9609
-0.12795124623390852	0.57492	0.13924267324020817	-0.27669	0.35	0.9609	0.35	0.9688
-0.1101615995617639	0.65928	0.1220282114489181	-0.21388000000000001	0.375	0.9688	0.375	0.9766
-0.09320049301561216	1.0	0.10434127636264037	0.0	0.4	1.0	0.4	1.0
-0.07706107915639553		0.08658586688578472		0.42500000000000004		0.42500000000000004	
-0.06155505341002466		0.06902218570254726		0.44999999999999996		0.44999999999999996	
-0.04642974527526705		0.051768693508627776		0.475		0.475	
-0.0314413859216653		0.03481580388934539		0.5		0.5	
-0.016394823336072308		0.018081347576006573		0.525		0.525	
-0.001153793481238017		0.0014578197754039988		0.5499999999999999		0.5499999999999999	
0.014367296631059985		-0.015147904683648315		0.575		0.575	
0.030208846891262672		-0.031792659545330046		0.6		0.6	
0.04636743357984114		-0.04849904135853191		0.625		0.625	
0.06279443987948508		-0.06527869076965215		0.6499999999999999		0.6499999999999999	
0.07939605587510272		-0.08216926869350863		0.6749999999999999		0.6749999999999999	
0.09602163790742263		-0.09931525609422077		0.7		0.7	
0.1125034237195289		-0.11705697069296084		0.725		0.725	
0.12863599013968777		-0.13614078334702823		0.75		0.75	
0.14420021911804987		-0.15777184333059438		0.775		0.775	
0.1589975349219392		-0.18364146809093398		0.8		0.8	
0.17282251437962204		-0.21531087373322377		0.8250000000000001		0.8250000000000001	
0.1855587510271159		-0.2529786359901397		0.8500000000000001		0.8500000000000001	
0.19757600657354152		-0.2936318816762531		0.8750000000000001		0.8750000000000001	
0.21155847712955356		-0.32901259928786636		0.9000000000000001		0.9000000000000001	
0.23845521774856204		-0.34355655984661737		0.9249999999999999		0.9249999999999999	
0.3094837030950425		-0.31346891262667764		0.95		0.95	
0.48208709942481515		-0.21631059983566148		0.975		0.975	
1.0		-1.9339906874828813e-07		1.0		1.0	
