"U","V","P","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.031856,1,0,0.005,0,0
-0.1395,0.007066,0.031678,1,0.00025,0.005,0.00025,0
-0.2064,0.014974,0.030723,1,0.0005,0.005,0.0005,0
-0.25341,0.021416,0.028466,1,0.00075,0.005,0.00075,0
-0.28566,0.026441,0.024779,1,0.001,0.005,0.001,0
-0.30688,0.030666,0.019677,1,0.00125,0.005,0.00125,0
-0.31886,0.034487,0.013281,1,0.0015,0.005,0.0015,0
-0.32231,0.038006,0.005815,1,0.00175,0.005,0.00175,0
-0.31776,0.04116,-0.002413,1,0.002,0.005,0.002,0
-0.30601,0.043832,-0.011041,1,0.00225,0.005,0.00225,0
-0.28821,0.045909,-0.019696,1,0.0025,0.005,0.0025,0
-0.2658,0.047327,-0.028037,1,0.00275,0.005,0.00275,0
-0.24042,0.048098,-0.035797,1,0.003,0.005,0.003,0
-0.21367,0.048327,-0.0428,1,0.00325,0.005,0.00325,0
-0.18686,0.048203,-0.048966,1,0.0035,0.005,0.0035,0
-0.16088,0.047964,-0.054287,1,0.00375,0.005,0.00375,0
-0.13611,0.047843,-0.058803,1,0.004,0.005,0.004,0
-0.11254,0.048012,-0.062569,1,0.00425,0.005,0.00425,0
-0.089895,0.048566,-0.065634,1,0.0045,0.005,0.0045,0
-0.067806,0.049522,-0.068035,1,0.00475,0.005,0.00475,0
-0.045917,0.050845,-0.069789,1,0.005,0.005,0.005,0
-0.023943,0.05247,-0.070902,1,0.00525,0.005,0.00525,0
-0.001685,0.054322,-0.071371,1,0.0055,0.005,0.0055,0
0.020982,0.05633,-0.07119,1,0.00575,0.005,0.00575,0
0.044117,0.058422,-0.070355,1,0.006,0.005,0.006,0
0.067715,0.060525,-0.068871,1,0.00625,0.005,0.00625,0
0.091705,0.062554,-0.066753,1,0.0065,0.005,0.0065,0
0.11595,0.064412,-0.064033,1,0.00675,0.005,0.00675,0
0.14023,0.065987,-0.060761,1,0.007,0.005,0.007,0
0.1643,0.067158,-0.057011,1,0.00725,0.005,0.00725,0
0.18786,0.067799,-0.052883,1,0.0075,0.005,0.0075,0
0.21059,0.067788,-0.048496,1,0.00775,0.005,0.00775,0
0.2322,0.067009,-0.043996,1,0.008,0.005,0.008,0
0.25239,0.065358,-0.03954,1,0.00825,0.005,0.00825,0
0.27099,0.062725,-0.0353,1,0.0085,0.005,0.0085,0
0.28854,0.058937,-0.031442,1,0.00875,0.005,0.00875,0
0.30896,0.053541,-0.028099,1,0.009,0.005,0.009,0
0.34824,0.045366,-0.025311,1,0.00925,0.005,0.00925,0
0.45197,0.032542,-0.022972,1,0.0095,0.005,0.0095,0
0.70404,0.01508,-0.020947,1,0.00975,0.005,0.00975,0
1.4604,1.3483e-008,-0.020002,1,0.01,0.005,0.01,0
