X,Y,U_100,V_100,U_1000,V_1000
0,0,0,0,0,0
0.0625,0.0547,-0.03717,0.09233,-0.18109,0.27485
0.0703,0.0625,-0.04192,0.10091,-0.20196,0.29012
0.0781,0.0703,-0.04775,0.1089,-0.222,0.30353
0.0938,0.1016,-0.06434,0.12317,-0.2973,0.32627
0.1563,0.1719,-0.1015,0.16077,-0.38289,0.37095
0.2266,0.2813,-0.15662,0.17507,-0.27805,0.33075
0.2344,0.4531,-0.2109,0.17527,-0.10648,0.32235
0.5,0.5,-0.20581,0.05454,-0.0608,0.02526
0.8047,0.6172,-0.13641,-0.24533,0.05702,-0.31966
0.8594,0.7344,0.00322,-0.22445,0.18719,-0.42665
0.9063,0.8516,0.23151,-0.16914,0.33304,-0.5155
0.9453,0.9531,0.68717,-0.10313,0.46604,-0.39188
0.9531,0.9609,0.73722,-0.08864,0.51117,-0.33714
0.9609,0.9688,0.78871,-0.07391,0.57492,-0.27669
0.9688,0.9766,0.84123,-0.05906,0.65928,-0.21388
1,1,1,0,1,0
